Sl No,City,Pedestrians,Bicycles,Two Wheelers,Auto rickshaws,"Cars Taxis, vans and LMVs",Trucks lorries,Buses,Other NMT (incl e-rickshaws),Others
1.0,Agra,61,56,58,56,61,59,52,51,45
2.0,Ahmedabad,236,26,222,28,18,2,3,0,0
3.0,Allahabad (Prayagraj),58,77,112,121,66,46,39,47,16
4.0,Amritsar,38,9,48,2,5,0,3,3,2
5.0,Asansol Durgapur,124,19,144,0,18,17,1,5,25
6.0,Aurangabad,69,4,109,4,10,7,0,0,0
7.0,Bengaluru,292,13,500,21,43,9,4,0,33
8.0,Bhopal,65,0,106,2,12,4,1,0,6
9.0,Chandigarh,28,12,21,1,3,0,0,2,0
10.0,Coimbatore,96,7,179,6,8,1,8,0,0
11.0,Chennai,185,11,281,10,11,2,3,0,0
12.0,Delhi,622,30,549,38,68,13,3,24,110
13.0,Dhanbad,10,12,211,4,49,9,5,0,6
14.0,Faridabad,94,7,118,13,26,8,1,0,2
15.0,Ghaziabad,31,38,53,30,122,27,24,40,0
16.0,Gwalior,62,0,65,30,73,30,30,0,54
17.0,Hyderabad,133,4,166,11,10,4,0,0,7
18.0,Indore,70,4,161,1,13,1,3,0,4
19.0,Jabalpur,82,8,301,6,70,47,13,17,1
20.0,Jaipur,185,5,422,3,126,52,23,6,27
21.0,Jamshedpur,39,23,82,15,9,6,5,28,11
22.0,Jodhpur,45,4,128,8,39,9,8,2,18
23.0,Kannur,38,1,56,8,11,0,1,0,2
24.0,Kanpur,92,97,213,43,130,29,10,24,0
25.0,Khozikode,46,2,104,8,8,0,4,0,0
26.0,Kochi,50,6,106,4,7,0,2,0,2
27.0,Kolkata,73,15,50,2,3,1,12,3,0
28.0,Kollam,52,8,124,12,10,0,2,0,3
29.0,Kota,30,2,66,2,3,1,0,0,10
30.0,Lucknow,14,6,114,3,107,65,43,1,215
31.0,Ludhiana,129,32,187,6,32,6,0,10,0
32.0,Madurai,75,10,160,3,8,0,8,0,0
33.0,Mallapuram,88,0,164,32,16,8,1,0,0
34.0,Meerut,10,11,161,28,74,15,9,24,63
35.0,Mumbai,171,4,170,9,23,2,2,0,3
36.0,Nagpur,87,17,179,6,6,6,0,6,1
37.0,Nashik,57,7,126,6,5,3,3,0,1
38.0,Patna,67,4,45,10,25,6,2,8,33
39.0,Pune,121,2,192,9,4,5,4,0,14
40.0,Raipur,101,14,344,5,21,12,4,0,6
41.0,Rajkot,61,3,66,9,20,6,1,0,12
42.0,Srinagar,15,0,11,0,27,1,1,0,1
43.0,Surat,138,6,130,18,6,9,2,0,0
44.0,Thiruvanthapuram,47,3,74,3,6,1,1,0,2
45.0,Thrissur,71,5,122,15,14,3,1,0,0
46.0,Tiruchirapalli,51,3,95,4,5,2,5,0,0
47.0,Vadodra,77,5,60,10,41,5,1,0,0
48.0,Varanasi,17,8,44,20,73,48,48,9,60
49.0,Vijaywada city,95,7,225,7,34,4,1,0,0
50.0,Vizaq,106,11,167,12,14,2,2,0,8
,Total,4604,658,7591,704,1593,593,399,310,803
