Sl No,State,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,2024 Accidents,Change 2023 to 2024,% Change 2023 to 2024,2024 Ranking
1,Andhra Pradesh,19509,21556,21249,19949,19557,-392,-2.0,9
2,Arunachal Pradesh,134,283,227,287,277,-10,-3.5,27
3,Assam,6595,7411,7023,7421,7848,427,5.8,16
4,Bihar,8639,9553,10801,11014,11610,596,5.4,14
5,Chhattisgarh,11656,12375,13279,13468,14857,1389,10.3,11
6,Goa,2375,2849,3011,2846,2682,-164,-5.8,21
7,Gujarat,13398,15186,15751,16349,15588,-761,-4.7,10
8,Haryana,9431,9933,10429,10463,9806,-657,-6.3,15
9,Himachal Pradesh,2239,2404,2597,2253,2156,-97,-4.3,22
10,Jharkhand,4405,4728,5175,5315,5196,-119,-2.2,20
11,Karnataka,34178,34647,39762,43440,43062,-378,-0.9,5
12,Kerala,27877,33296,43910,48091,48834,743,1.5,3
13,Madhya Pradesh,45266,48877,54432,55327,56669,1342,2.4,2
14,Maharashtra,24971,29477,33383,35243,36118,875,2.5,6
15,Manipur,432,366,508,398,299,-99,-24.9,26
16,Meghalaya,214,245,246,223,269,46,20.6,28
17,Mizoram,53,69,133,106,118,12,11.3,35
18,Nagaland,500,746,489,303,129,-174,-57.4,34
19,Odisha,9817,10983,11663,11992,12375,383,3.2,13
20,Punjab,5203,5871,6138,6269,6063,-206,-3.3,17
21,Rajasthan,19114,20951,23614,24694,24838,144,0.6,8
22,Sikkim,138,155,211,182,149,-33,-18.1,32
23,Tamil Nadu,49844,55682,64105,67213,67526,313,0.5,1
24,Telangana,19172,21315,21619,22903,25986,3083,13.5,7
25,Tripura,466,479,575,577,578,1,0.2,25
26,Uttarakhand,1041,1405,1674,1691,1747,56,3.3,23
27,Uttar Pradesh,34243,37729,41746,44534,46052,1518,3.4,4
28,West Bengal,10863,11937,13686,13795,13702,-93,-0.7,12
29,Andaman & Nicobar Islands,141,115,141,143,135,-8,-5.6,33
30,Chandigarh,159,208,237,182,169,-13,-7.1,30
31,D&N Haveli and Daman & Diu,100,140,196,182,152,-30,-16.5,31
32,Delhi,4178,4720,5652,5834,5657,-177,-3.0,19
33,Jammu and Kashmir,4860,5452,6092,6298,5808,-490,-7.8,18
34,Ladakh,0,236,374,289,264,-25,-8.7,29
35,Lakshadweep,1,4,3,1,0,-1,-100.0,36
36,Puducherry,969,1049,1181,1308,1431,123,9.4,24
Total,372181,412432,461312,480583,487707,7124,1.5,
