Sl No,State,2020 Killed,2021 Killed,2022 Killed,2023 Killed,2024 Killed,% Change 2024 over 2023,2024 Ranking
1,Andhra Pradesh,7039,8186,8293,8137,8346,2.57,8
2,Arunachal Pradesh,73,157,148,145,168,15.86,27
3,Assam,2629,3036,2994,3296,3351,1.67,18
4,Bihar,6699,7660,8898,8873,9347,5.34,7
5,Chhattisgarh,4606,5371,5834,6166,6945,12.63,11
6,Goa,223,226,271,290,286,-1.28,23
7,Gujarat,6170,7452,7618,7854,7717,-1.74,10
8,Haryana,4507,4706,4915,4968,4689,-5.62,15
9,Himachal Pradesh,893,1052,1032,889,869,-2.25,21
10,Jharkhand,3044,3513,3898,4173,4114,-1.41,16
11,Karnataka,9760,10038,11702,12321,12390,0.56,5
12,Kerala,2979,3429,4317,4080,3880,-4.90,17
13,Madhya Pradesh,11141,12057,13427,13798,14791,7.20,4
14,Maharashtra,11569,13528,15224,15366,15715,2.27,3
15,Manipur,127,110,127,73,72,-1.37,31
16,Meghalaya,144,187,162,168,197,17.26,26
17,Mizoram,42,56,113,96,110,14.58,28
18,Nagaland,53,55,73,86,62,-27.91,33
19,Odisha,4738,5081,5467,5739,6142,7.02,13
20,Punjab,3898,4589,4756,4829,4759,-1.45,14
21,Rajasthan,9250,10043,11104,11762,11790,0.24,6
22,Sikkim,47,56,92,57,67,17.54,32
23,Tamil Nadu,14527,15384,17884,18347,18449,0.56,2
24,Telangana,6882,7557,7559,7660,7949,3.77,9
25,Tripura,192,194,241,261,226,-13.41,24
26,Uttarakhand,674,820,1042,1054,1090,3.42,20
27,Uttar Pradesh,19149,21227,22595,23652,24118,1.97,1
28,West Bengal,5128,5800,6002,6027,6676,10.77,12
29,Andaman & Nicobar Islands,14,20,19,24,29,20.83,35
30,Chandigarh,53,96,83,67,75,11.94,30
31,D&N Haveli and Daman & Diu,64,76,90,74,95,28.38,29
32,Delhi,1196,1239,1461,1457,1551,6.45,19
33,Jammu and Kashmir,728,774,805,893,831,-6.94,22
34,Ladakh,0,56,62,59,61,3.39,34
35,Lakshadweep,0,1,2,0,0,0.00,36
36,Puducherry,145,140,181,149,218,46.31,25
Total,138383,153972,168491,172890,177175,2.48,
